pellet_id,name,category,cost,weight,received,sell_by,refrigerated,sent
53,Whole Milk,Dairy,140.4,292.6,2025-03-08,2025-03-22,True,False
54,Whole Milk,Dairy,140.4,316.28,2025-03-15,2025-04-20,True,False
55,Whole Milk,Dairy,140.4,291.17,2025-03-20,2025-04-28,True,False
56,Whole Milk,Dairy,140.4,328.16,2025-02-05,2025-02-16,True,False
57,Whole Milk,Dairy,140.4,334.9,2025-02-26,2025-04-05,True,False
58,Whole Milk,Dairy,140.4,237.99,2025-03-26,2025-05-06,True,False
59,Whole Milk,Dairy,140.4,281.01,2025-02-14,2025-03-15,True,False
60,Whole Milk,Dairy,140.4,388.0,2025-02-24,2025-04-05,True,False
61,Whole Milk,Dairy,140.4,259.06,2025-02-17,2025-03-02,True,False
62,Whole Milk,Dairy,140.4,368.03,2025-03-04,2025-03-23,True,False
63,Whole Milk,Dairy,140.4,240.23,2025-02-13,2025-03-17,True,False
64,Whole Milk,Dairy,140.4,339.7,2025-03-04,2025-04-15,True,False
65,Whole Milk,Dairy,140.4,218.76,2025-03-05,2025-04-13,True,False
66,Whole Milk,Dairy,140.4,218.24,2025-02-05,2025-03-01,True,False
67,Whole Milk,Dairy,140.4,239.4,2025-02-08,2025-03-09,True,False
68,Whole Milk,Dairy,140.4,351.25,2025-04-01,2025-04-26,True,False
69,Whole Milk,Dairy,140.4,251.66,2025-03-27,2025-04-10,True,False
70,Whole Milk,Dairy,140.4,213.02,2025-02-06,2025-03-04,True,False
71,Whole Milk,Dairy,140.4,201.94,2025-03-12,2025-03-29,True,False
72,Whole Milk,Dairy,140.4,398.81,2025-03-12,2025-04-23,True,False
73,Whole Milk,Dairy,140.4,245.67,2025-03-28,2025-05-09,True,False
74,Whole Milk,Dairy,140.4,355.89,2025-02-11,2025-03-27,True,False
75,Whole Milk,Dairy,140.4,254.64,2025-03-03,2025-03-16,True,False
76,Whole Milk,Dairy,140.4,353.51,2025-02-06,2025-02-20,True,False
77,Whole Milk,Dairy,140.4,253.15,2025-03-03,2025-03-13,True,False
78,Whole Milk,Dairy,140.4,358.08,2025-03-26,2025-04-19,True,False
79,Whole Milk,Dairy,140.4,248.87,2025-03-17,2025-04-19,True,False
80,Whole Milk,Dairy,140.4,368.14,2025-03-27,2025-04-15,True,False
81,Whole Milk,Dairy,140.4,333.9,2025-03-15,2025-04-16,True,False
82,Whole Milk,Dairy,140.4,382.76,2025-03-11,2025-03-24,True,False
83,Whole Milk,Dairy,140.4,289.02,2025-02-26,2025-04-08,True,False
84,Whole Milk,Dairy,140.4,321.99,2025-02-08,2025-03-12,True,False
85,Whole Milk,Dairy,140.4,228.86,2025-02-25,2025-03-12,True,False
86,Whole Milk,Dairy,140.4,258.23,2025-03-09,2025-04-15,True,False
87,Whole Milk,Dairy,140.4,227.09,2025-03-10,2025-03-23,True,False
88,Whole Milk,Dairy,140.4,292.58,2025-02-20,2025-04-05,True,False
89,Whole Milk,Dairy,140.4,378.77,2025-03-24,2025-04-19,True,False
90,Whole Milk,Dairy,140.4,351.08,2025-03-30,2025-05-09,True,False
91,Whole Milk,Dairy,140.4,365.59,2025-02-17,2025-04-03,True,False
92,Whole Milk,Dairy,140.4,330.54,2025-03-27,2025-05-05,True,False
93,Whole Milk,Dairy,140.4,287.32,2025-03-24,2025-04-14,True,False
94,Whole Milk,Dairy,140.4,325.89,2025-03-05,2025-04-09,True,False
95,Whole Milk,Dairy,140.4,306.68,2025-03-13,2025-03-28,True,False
96,Whole Milk,Dairy,140.4,294.98,2025-03-10,2025-04-04,True,False
97,Whole Milk,Dairy,140.4,253.93,2025-03-19,2025-04-22,True,False
98,Whole Milk,Dairy,140.4,313.41,2025-03-03,2025-04-06,True,False
99,Whole Milk,Dairy,140.4,238.54,2025-02-11,2025-02-28,True,False
100,Whole Milk,Dairy,140.4,224.11,2025-03-19,2025-04-02,True,False
101,Whole Milk,Dairy,140.4,249.8,2025-02-12,2025-03-04,True,False
102,Whole Milk,Dairy,140.4,361.17,2025-02-20,2025-03-23,True,False
103,Whole Milk,Dairy,140.4,295.42,2025-03-13,2025-04-19,True,False
104,Whole Milk,Dairy,140.4,371.99,2025-03-05,2025-04-06,True,False
105,Whole Milk,Dairy,140.4,324.41,2025-03-12,2025-04-16,True,False
106,Whole Milk,Dairy,140.4,377.63,2025-03-03,2025-04-10,True,False
107,Whole Milk,Dairy,140.4,258.21,2025-03-03,2025-03-15,True,False
108,Whole Milk,Dairy,140.4,229.14,2025-02-06,2025-02-22,True,False
109,Whole Milk,Dairy,140.4,253.93,2025-03-20,2025-04-13,True,False
110,Whole Milk,Dairy,140.4,244.17,2025-03-29,2025-05-11,True,False
111,Whole Milk,Dairy,140.4,376.87,2025-03-19,2025-04-05,True,False
112,Whole Milk,Dairy,140.4,243.4,2025-02-10,2025-03-08,True,False
113,Whole Milk,Dairy,140.4,268.18,2025-03-17,2025-04-27,True,False
114,Whole Milk,Dairy,140.4,268.77,2025-03-22,2025-04-21,True,False
115,Whole Milk,Dairy,140.4,259.66,2025-03-13,2025-04-09,True,False
116,Whole Milk,Dairy,140.4,215.74,2025-02-06,2025-03-06,True,False
117,Whole Milk,Dairy,140.4,330.96,2025-03-25,2025-05-04,True,False
118,Whole Milk,Dairy,140.4,254.16,2025-03-10,2025-04-17,True,False
119,Whole Milk,Dairy,140.4,315.63,2025-03-05,2025-03-30,True,False
120,Whole Milk,Dairy,140.4,288.38,2025-02-08,2025-03-07,True,False
121,Whole Milk,Dairy,140.4,250.93,2025-02-11,2025-03-13,True,False
122,Whole Milk,Dairy,140.4,338.42,2025-02-06,2025-03-15,True,False
123,Whole Milk,Dairy,140.4,368.73,2025-03-18,2025-04-15,True,False
124,Whole Milk,Dairy,140.4,256.19,2025-02-11,2025-03-06,True,False
125,Whole Milk,Dairy,140.4,336.08,2025-02-24,2025-04-02,True,False
126,Whole Milk,Dairy,140.4,356.11,2025-03-30,2025-04-11,True,False
127,Whole Milk,Dairy,140.4,300.31,2025-02-08,2025-02-27,True,False
128,Whole Milk,Dairy,140.4,254.69,2025-04-01,2025-04-22,True,False
129,Whole Milk,Dairy,140.4,391.9,2025-02-18,2025-03-29,True,False
130,Whole Milk,Dairy,140.4,384.41,2025-03-26,2025-04-18,True,False
131,Whole Milk,Dairy,140.4,205.63,2025-03-20,2025-04-11,True,False
132,Whole Milk,Dairy,140.4,223.0,2025-02-27,2025-03-30,True,False
133,Whole Milk,Dairy,140.4,277.33,2025-02-03,2025-02-14,True,False
134,Whole Milk,Dairy,140.4,343.74,2025-03-08,2025-04-02,True,False
135,Whole Milk,Dairy,140.4,375.75,2025-02-23,2025-03-12,True,False
136,2% Milk,Dairy,54.29,324.26,2025-02-03,2025-02-25,True,False
137,2% Milk,Dairy,54.29,386.87,2025-03-17,2025-04-10,True,False
138,2% Milk,Dairy,54.29,257.04,2025-03-25,2025-04-29,True,False
139,2% Milk,Dairy,54.29,397.04,2025-03-09,2025-03-22,True,False
140,2% Milk,Dairy,54.29,330.09,2025-03-09,2025-04-01,True,False
141,2% Milk,Dairy,54.29,297.42,2025-03-19,2025-04-10,True,False
142,2% Milk,Dairy,54.29,357.2,2025-03-04,2025-04-04,True,False
143,2% Milk,Dairy,54.29,317.41,2025-03-16,2025-04-19,True,False
144,2% Milk,Dairy,54.29,227.54,2025-02-22,2025-03-21,True,False
145,2% Milk,Dairy,54.29,383.48,2025-03-25,2025-04-19,True,False
146,2% Milk,Dairy,54.29,281.19,2025-03-23,2025-05-04,True,False
147,2% Milk,Dairy,54.29,285.21,2025-03-04,2025-03-30,True,False
148,2% Milk,Dairy,54.29,306.91,2025-02-26,2025-03-27,True,False
149,2% Milk,Dairy,54.29,383.32,2025-03-04,2025-03-17,True,False
150,2% Milk,Dairy,54.29,356.85,2025-03-27,2025-04-16,True,False
151,2% Milk,Dairy,54.29,352.87,2025-03-01,2025-04-04,True,False
152,2% Milk,Dairy,54.29,229.98,2025-02-06,2025-03-03,True,False
153,2% Milk,Dairy,54.29,287.17,2025-03-08,2025-04-11,True,False
154,2% Milk,Dairy,54.29,392.88,2025-02-07,2025-03-15,True,False
155,2% Milk,Dairy,54.29,320.59,2025-02-10,2025-03-14,True,False
156,2% Milk,Dairy,54.29,249.94,2025-03-04,2025-03-29,True,False
157,2% Milk,Dairy,54.29,361.69,2025-02-05,2025-03-13,True,False
158,2% Milk,Dairy,54.29,339.33,2025-03-29,2025-05-05,True,False
159,2% Milk,Dairy,54.29,243.78,2025-03-19,2025-04-06,True,False
160,2% Milk,Dairy,54.29,244.41,2025-03-04,2025-04-18,True,False
161,2% Milk,Dairy,54.29,338.33,2025-03-08,2025-04-22,True,False
162,2% Milk,Dairy,54.29,276.69,2025-02-03,2025-02-25,True,False
163,2% Milk,Dairy,54.29,365.25,2025-03-08,2025-03-26,True,False
164,2% Milk,Dairy,54.29,281.4,2025-03-22,2025-04-09,True,False
165,2% Milk,Dairy,54.29,333.43,2025-02-20,2025-04-04,True,False
166,2% Milk,Dairy,54.29,204.89,2025-03-30,2025-04-26,True,False
167,2% Milk,Dairy,54.29,340.54,2025-02-28,2025-04-05,True,False
168,2% Milk,Dairy,54.29,283.59,2025-03-13,2025-04-01,True,False
169,2% Milk,Dairy,54.29,252.74,2025-03-04,2025-04-14,True,False
170,2% Milk,Dairy,54.29,328.18,2025-02-20,2025-03-04,True,False
171,2% Milk,Dairy,54.29,237.78,2025-03-15,2025-04-06,True,False
172,2% Milk,Dairy,54.29,269.83,2025-03-28,2025-04-29,True,False
173,2% Milk,Dairy,54.29,289.0,2025-03-14,2025-04-14,True,False
174,2% Milk,Dairy,54.29,345.86,2025-04-02,2025-04-20,True,False
175,2% Milk,Dairy,54.29,288.3,2025-03-15,2025-04-11,True,False
176,2% Milk,Dairy,54.29,283.82,2025-03-11,2025-03-29,True,False
177,2% Milk,Dairy,54.29,242.0,2025-04-02,2025-05-04,True,False
178,2% Milk,Dairy,54.29,283.3,2025-03-08,2025-03-25,True,False
179,2% Milk,Dairy,54.29,346.52,2025-02-07,2025-03-03,True,False
180,2% Milk,Dairy,54.29,275.15,2025-03-29,2025-05-04,True,False
181,2% Milk,Dairy,54.29,221.21,2025-03-22,2025-04-29,True,False
182,2% Milk,Dairy,54.29,294.7,2025-03-29,2025-05-09,True,False
183,2% Milk,Dairy,54.29,238.2,2025-03-13,2025-04-09,True,False
184,2% Milk,Dairy,54.29,247.26,2025-03-19,2025-04-23,True,False
185,2% Milk,Dairy,54.29,285.67,2025-02-06,2025-03-23,True,False
186,2% Milk,Dairy,54.29,316.51,2025-03-04,2025-03-25,True,False
187,2% Milk,Dairy,54.29,307.49,2025-02-03,2025-02-24,True,False
188,2% Milk,Dairy,54.29,240.75,2025-03-03,2025-03-20,True,False
189,2% Milk,Dairy,54.29,223.09,2025-03-05,2025-03-19,True,False
190,2% Milk,Dairy,54.29,244.18,2025-02-16,2025-03-21,True,False
191,2% Milk,Dairy,54.29,397.36,2025-04-02,2025-05-14,True,False
192,2% Milk,Dairy,54.29,254.48,2025-02-13,2025-02-27,True,False
193,2% Milk,Dairy,54.29,388.34,2025-02-25,2025-03-24,True,False
194,2% Milk,Dairy,54.29,302.18,2025-02-18,2025-03-08,True,False
195,2% Milk,Dairy,54.29,321.13,2025-03-07,2025-03-30,True,False
196,2% Milk,Dairy,54.29,272.61,2025-03-13,2025-04-21,True,False
197,2% Milk,Dairy,54.29,211.83,2025-03-23,2025-05-06,True,False
198,2% Milk,Dairy,54.29,346.57,2025-02-11,2025-03-03,True,False
199,2% Milk,Dairy,54.29,339.09,2025-03-28,2025-05-06,True,False
200,2% Milk,Dairy,54.29,359.34,2025-04-02,2025-05-14,True,False
201,2% Milk,Dairy,54.29,323.61,2025-02-22,2025-03-06,True,False
202,2% Milk,Dairy,54.29,277.79,2025-03-19,2025-04-20,True,False
203,2% Milk,Dairy,54.29,356.51,2025-02-22,2025-03-04,True,False
204,2% Milk,Dairy,54.29,370.98,2025-03-15,2025-03-29,True,False
205,2% Milk,Dairy,54.29,361.36,2025-02-09,2025-02-25,True,False
206,2% Milk,Dairy,54.29,305.28,2025-02-13,2025-03-15,True,False
207,2% Milk,Dairy,54.29,258.01,2025-02-11,2025-02-22,True,False
208,2% Milk,Dairy,54.29,276.13,2025-02-13,2025-03-24,True,False
209,2% Milk,Dairy,54.29,308.7,2025-02-09,2025-03-06,True,False
210,2% Milk,Dairy,54.29,385.65,2025-03-31,2025-04-10,True,False
211,2% Milk,Dairy,54.29,220.48,2025-03-02,2025-03-19,True,False
212,2% Milk,Dairy,54.29,281.75,2025-03-04,2025-04-14,True,False
213,2% Milk,Dairy,54.29,237.96,2025-03-04,2025-03-30,True,False
214,2% Milk,Dairy,54.29,217.13,2025-02-05,2025-02-28,True,False
215,2% Milk,Dairy,54.29,290.45,2025-03-30,2025-05-05,True,False
216,2% Milk,Dairy,54.29,244.85,2025-02-12,2025-03-06,True,False
217,2% Milk,Dairy,54.29,203.99,2025-03-11,2025-04-15,True,False
218,2% Milk,Dairy,54.29,328.83,2025-03-30,2025-05-08,True,False
219,2% Milk,Dairy,54.29,301.82,2025-03-29,2025-04-21,True,False
220,2% Milk,Dairy,54.29,283.65,2025-03-01,2025-03-24,True,False
221,2% Milk,Dairy,54.29,300.34,2025-02-03,2025-02-21,True,False
222,2% Milk,Dairy,54.29,200.71,2025-03-22,2025-05-03,True,False
223,2% Milk,Dairy,54.29,297.32,2025-02-18,2025-03-01,True,False
224,2% Milk,Dairy,54.29,241.48,2025-02-21,2025-04-06,True,False
225,2% Milk,Dairy,54.29,364.55,2025-02-10,2025-03-20,True,False
226,2% Milk,Dairy,54.29,266.9,2025-03-23,2025-04-09,True,False
227,2% Milk,Dairy,54.29,372.92,2025-02-15,2025-03-03,True,False
228,2% Milk,Dairy,54.29,367.29,2025-02-15,2025-04-01,True,False
229,2% Milk,Dairy,54.29,368.49,2025-03-14,2025-04-19,True,False
230,2% Milk,Dairy,54.29,287.39,2025-03-18,2025-04-11,True,False
231,2% Milk,Dairy,54.29,374.22,2025-02-15,2025-03-05,True,False
232,2% Milk,Dairy,54.29,220.64,2025-02-20,2025-03-22,True,False
233,2% Milk,Dairy,54.29,272.53,2025-03-13,2025-03-30,True,False
234,2% Milk,Dairy,54.29,211.19,2025-03-12,2025-03-27,True,False
235,2% Milk,Dairy,54.29,206.64,2025-03-30,2025-04-22,True,False
236,2% Milk,Dairy,54.29,326.65,2025-02-24,2025-03-16,True,False
237,2% Milk,Dairy,54.29,315.37,2025-03-25,2025-05-02,True,False
238,2% Milk,Dairy,54.29,373.73,2025-02-19,2025-03-22,True,False
239,2% Milk,Dairy,54.29,373.61,2025-03-17,2025-04-11,True,False
240,2% Milk,Dairy,54.29,361.64,2025-03-09,2025-03-21,True,False
241,2% Milk,Dairy,54.29,369.6,2025-02-16,2025-03-09,True,False
242,2% Milk,Dairy,54.29,384.03,2025-03-29,2025-05-09,True,False
243,2% Milk,Dairy,54.29,279.91,2025-03-16,2025-04-17,True,False
244,2% Milk,Dairy,54.29,282.59,2025-02-13,2025-03-28,True,False
245,2% Milk,Dairy,54.29,322.15,2025-02-27,2025-04-05,True,False
246,2% Milk,Dairy,54.29,300.58,2025-02-27,2025-03-23,True,False
247,2% Milk,Dairy,54.29,356.62,2025-03-19,2025-04-21,True,False
248,2% Milk,Dairy,54.29,337.45,2025-02-12,2025-03-05,True,False
249,2% Milk,Dairy,54.29,264.69,2025-03-21,2025-03-31,True,False
250,2% Milk,Dairy,54.29,289.36,2025-03-10,2025-04-01,True,False
251,2% Milk,Dairy,54.29,376.45,2025-03-25,2025-04-14,True,False
252,2% Milk,Dairy,54.29,362.25,2025-02-07,2025-03-06,True,False
253,2% Milk,Dairy,54.29,264.35,2025-03-22,2025-04-05,True,False
254,2% Milk,Dairy,54.29,244.11,2025-02-25,2025-03-27,True,False
255,2% Milk,Dairy,54.29,383.11,2025-02-16,2025-03-14,True,False
256,2% Milk,Dairy,54.29,296.49,2025-03-22,2025-04-13,True,False
257,2% Milk,Dairy,54.29,317.59,2025-03-03,2025-03-23,True,False
258,2% Milk,Dairy,54.29,245.29,2025-02-25,2025-04-06,True,False
259,2% Milk,Dairy,54.29,204.36,2025-03-11,2025-04-12,True,False
260,2% Milk,Dairy,54.29,324.77,2025-03-30,2025-05-13,True,False
261,2% Milk,Dairy,54.29,271.9,2025-03-01,2025-04-09,True,False
262,2% Milk,Dairy,54.29,314.1,2025-03-21,2025-04-08,True,False
263,2% Milk,Dairy,54.29,301.92,2025-02-13,2025-03-18,True,False
264,2% Milk,Dairy,54.29,298.89,2025-03-03,2025-04-01,True,False
265,2% Milk,Dairy,54.29,282.22,2025-03-21,2025-04-29,True,False
266,2% Milk,Dairy,54.29,292.6,2025-03-06,2025-04-02,True,False
267,2% Milk,Dairy,54.29,341.98,2025-02-28,2025-03-10,True,False
268,2% Milk,Dairy,54.29,290.15,2025-02-21,2025-04-04,True,False
269,2% Milk,Dairy,54.29,347.19,2025-03-15,2025-03-26,True,False
270,2% Milk,Dairy,54.29,212.63,2025-02-16,2025-03-09,True,False
271,2% Milk,Dairy,54.29,249.41,2025-04-03,2025-04-17,True,False
272,2% Milk,Dairy,54.29,385.5,2025-03-03,2025-03-14,True,False
273,2% Milk,Dairy,54.29,273.25,2025-02-24,2025-03-07,True,False
274,2% Milk,Dairy,54.29,363.07,2025-03-04,2025-04-09,True,False
275,2% Milk,Dairy,54.29,391.99,2025-03-02,2025-04-05,True,False
276,2% Milk,Dairy,54.29,389.28,2025-03-14,2025-04-26,True,False
277,2% Milk,Dairy,54.29,260.68,2025-02-10,2025-03-24,True,False
278,2% Milk,Dairy,54.29,354.44,2025-03-23,2025-04-20,True,False
279,2% Milk,Dairy,54.29,380.12,2025-03-14,2025-04-14,True,False
280,2% Milk,Dairy,54.29,307.72,2025-02-20,2025-03-11,True,False
281,2% Milk,Dairy,54.29,341.72,2025-03-01,2025-04-10,True,False
282,2% Milk,Dairy,54.29,205.23,2025-03-19,2025-04-28,True,False
283,2% Milk,Dairy,54.29,377.19,2025-02-11,2025-03-18,True,False
284,2% Milk,Dairy,54.29,293.94,2025-03-02,2025-03-14,True,False
285,2% Milk,Dairy,54.29,286.16,2025-03-07,2025-04-11,True,False
286,2% Milk,Dairy,54.29,289.77,2025-03-07,2025-04-04,True,False
287,2% Milk,Dairy,54.29,388.12,2025-03-31,2025-04-30,True,False
288,2% Milk,Dairy,54.29,344.39,2025-03-05,2025-03-21,True,False
289,2% Milk,Dairy,54.29,215.21,2025-02-10,2025-03-25,True,False
290,2% Milk,Dairy,54.29,275.48,2025-02-07,2025-03-11,True,False
291,2% Milk,Dairy,54.29,235.32,2025-02-14,2025-03-22,True,False
292,2% Milk,Dairy,54.29,302.01,2025-03-21,2025-04-24,True,False
293,2% Milk,Dairy,54.29,391.1,2025-03-20,2025-04-09,True,False
294,2% Milk,Dairy,54.29,363.31,2025-02-19,2025-03-22,True,False
295,2% Milk,Dairy,54.29,313.45,2025-02-09,2025-02-28,True,False
296,2% Milk,Dairy,54.29,391.68,2025-02-21,2025-03-14,True,False
297,2% Milk,Dairy,54.29,302.01,2025-04-02,2025-04-25,True,False
298,2% Milk,Dairy,54.29,320.02,2025-02-22,2025-04-04,True,False
299,2% Milk,Dairy,54.29,231.52,2025-03-30,2025-04-26,True,False
300,2% Milk,Dairy,54.29,366.5,2025-02-26,2025-03-21,True,False
301,2% Milk,Dairy,54.29,294.08,2025-03-04,2025-04-08,True,False
302,2% Milk,Dairy,54.29,259.83,2025-02-19,2025-03-23,True,False
303,2% Milk,Dairy,54.29,343.03,2025-03-03,2025-03-16,True,False
304,2% Milk,Dairy,54.29,290.03,2025-03-09,2025-03-29,True,False
305,2% Milk,Dairy,54.29,210.59,2025-02-11,2025-03-01,True,False
306,2% Milk,Dairy,54.29,247.63,2025-03-13,2025-04-10,True,False
307,2% Milk,Dairy,54.29,278.25,2025-03-02,2025-04-06,True,False
308,2% Milk,Dairy,54.29,324.18,2025-03-03,2025-04-03,True,False
309,2% Milk,Dairy,54.29,283.38,2025-03-22,2025-04-19,True,False
310,2% Milk,Dairy,54.29,251.71,2025-03-16,2025-04-16,True,False
311,2% Milk,Dairy,54.29,297.8,2025-02-11,2025-03-14,True,False
312,2% Milk,Dairy,54.29,399.18,2025-03-20,2025-04-09,True,False
313,2% Milk,Dairy,54.29,269.69,2025-03-23,2025-05-04,True,False
314,2% Milk,Dairy,54.29,307.5,2025-03-02,2025-03-19,True,False
315,2% Milk,Dairy,54.29,226.7,2025-02-25,2025-03-24,True,False
316,2% Milk,Dairy,54.29,276.95,2025-03-29,2025-04-20,True,False
317,2% Milk,Dairy,54.29,218.1,2025-03-16,2025-04-23,True,False
318,2% Milk,Dairy,54.29,203.31,2025-03-30,2025-04-21,True,False
319,2% Milk,Dairy,54.29,287.84,2025-03-02,2025-03-22,True,False
320,2% Milk,Dairy,54.29,248.06,2025-02-22,2025-03-29,True,False
321,2% Milk,Dairy,54.29,360.62,2025-03-14,2025-04-14,True,False
322,2% Milk,Dairy,54.29,379.1,2025-03-05,2025-03-20,True,False
323,2% Milk,Dairy,54.29,381.73,2025-02-05,2025-03-01,True,False
324,2% Milk,Dairy,54.29,231.27,2025-04-02,2025-04-13,True,False
325,2% Milk,Dairy,54.29,350.67,2025-03-24,2025-04-06,True,False
326,2% Milk,Dairy,54.29,242.67,2025-02-22,2025-03-25,True,False
327,2% Milk,Dairy,54.29,334.27,2025-03-13,2025-04-19,True,False
328,2% Milk,Dairy,54.29,224.39,2025-02-15,2025-03-08,True,False
329,2% Milk,Dairy,54.29,376.47,2025-02-28,2025-03-19,True,False
330,2% Milk,Dairy,54.29,394.81,2025-02-25,2025-04-09,True,False
331,2% Milk,Dairy,54.29,231.66,2025-04-02,2025-05-15,True,False
332,2% Milk,Dairy,54.29,333.51,2025-03-13,2025-04-06,True,False
333,2% Milk,Dairy,54.29,291.32,2025-02-23,2025-03-05,True,False
334,2% Milk,Dairy,54.29,221.36,2025-03-04,2025-03-23,True,False
335,2% Milk,Dairy,54.29,322.08,2025-03-26,2025-04-17,True,False
336,2% Milk,Dairy,54.29,326.59,2025-03-13,2025-04-15,True,False
337,2% Milk,Dairy,54.29,350.82,2025-03-06,2025-04-06,True,False
338,2% Milk,Dairy,54.29,339.61,2025-03-01,2025-04-01,True,False
339,2% Milk,Dairy,54.29,396.91,2025-02-21,2025-03-21,True,False
340,2% Milk,Dairy,54.29,304.98,2025-02-10,2025-03-27,True,False
341,2% Milk,Dairy,54.29,315.27,2025-03-09,2025-03-22,True,False
342,2% Milk,Dairy,54.29,368.47,2025-02-27,2025-04-04,True,False
343,2% Milk,Dairy,54.29,346.03,2025-02-07,2025-03-13,True,False
344,2% Milk,Dairy,54.29,325.28,2025-02-26,2025-03-24,True,False
345,2% Milk,Dairy,54.29,250.93,2025-03-02,2025-03-23,True,False
346,2% Milk,Dairy,54.29,306.26,2025-03-21,2025-04-11,True,False
347,2% Milk,Dairy,54.29,389.44,2025-02-21,2025-03-15,True,False
348,2% Milk,Dairy,54.29,377.08,2025-02-04,2025-03-14,True,False
349,2% Milk,Dairy,54.29,280.29,2025-03-06,2025-03-20,True,False
350,2% Milk,Dairy,54.29,295.6,2025-02-15,2025-02-27,True,False
351,2% Milk,Dairy,54.29,318.01,2025-02-14,2025-03-24,True,False
352,2% Milk,Dairy,54.29,339.51,2025-03-07,2025-03-31,True,False
353,2% Milk,Dairy,54.29,202.36,2025-02-05,2025-03-08,True,False
